CODIGO_CLIENTE,IDADE,FAIXA_ETARIA,RENDA_TOTAL,CATEGORIA_RENDA,SCORE,QT_IMOVEIS,QT_CARROS,ULTIMO_SALARIO,TRABALHANDO_ATUALMENTE,capacidade_credito
1,19,Até 20,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
2,23,21 a 30,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
3,25,21 a 30,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
4,27,21 a 30,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
5,28,21 a 30,6100.0,Média,34,1,1,6100.0,0.0,2170.0
6,30,21 a 30,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
7,32,31 a 45,9800.0,Média,45,1,0,6800.0,0.0,3390.0
8,35,31 a 45,24400.0,Alta,50,2,1,22000.0,0.0,7820.0
9,42,31 a 45,4500.0,Média-Baixa,56,0,2,4500.0,0.0,1910.0
10,45,31 a 45,9800.0,Média,61,0,0,9800.0,0.0,3550.0
11,48,46 a 55,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
12,51,46 a 55,6100.0,Média,72,0,2,6100.0,0.0,2550.0
13,53,46 a 55,9000.0,Média,78,1,0,9000.0,0.0,3480.0
14,55,46 a 55,17500.0,Média-Alta,83,3,1,17500.0,0.0,6080.0
15,57,Maior que 55,17000.0,Média-Alta,89,1,2,13000.0,0.0,5990.0
16,62,Maior que 55,8500.0,Média,94,1,0,5300.0,0.0,3490.0
17,65,Maior que 55,18300.0,Média-Alta,98,3,1,18300.0,0.0,6470.0
18,19,Até 20,1800.0,Baixa,12,0,0,1800.0,0.0,660.0
19,23,21 a 30,4800.0,Média-Baixa,18,0,1,4800.0,0.0,1620.0
20,25,21 a 30,2200.0,Baixa,23,1,2,2200.0,0.0,890.0
21,27,21 a 30,3900.0,Média-Baixa,28,0,0,3900.0,0.0,1450.0
22,28,21 a 30,11500.0,Média-Alta,34,1,1,11500.0,0.0,3790.0
23,30,21 a 30,3100.0,Média-Baixa,39,0,2,3100.0,0.0,1320.0
24,32,31 a 45,9800.0,Média,45,1,0,6800.0,0.0,3390.0
25,35,31 a 45,24400.0,Alta,50,2,1,22000.0,0.0,7820.0
26,42,31 a 45,4500.0,Média-Baixa,56,0,2,4500.0,0.0,1910.0
27,45,31 a 45,9800.0,Média,61,0,0,9800.0,0.0,3550.0
28,48,46 a 55,15000.0,Média-Alta,67,2,1,15000.0,0.0,5170.0
29,51,46 a 55,6100.0,Média,72,0,2,6100.0,0.0,2550.0
30,53,46 a 55,9000.0,Média,78,1,0,9000.0,0.0,3480.0
