CODIGO_CLIENTE,UF,IDADE,ESCOLARIDADE,ESTADO_CIVIL,QT_FILHOS,CASA_PROPRIA,QT_IMOVEIS,VL_IMOVEIS,OUTRA_RENDA,OUTRA_RENDA_VALOR,TEMPO_ULTIMO_EMPREGO_MESES,TRABALHANDO_ATUALMENTE,ULTIMO_SALARIO,QT_CARROS,VALOR_TABELA_CARROS,SCORE,DATA_UPLOAD,ARQUIVO_FONTE
1,SP,19,Superior Cursando,Solteiro,0,Não,0,0.0,Não,0.0,8,Sim,1800.0,0,0.0,12.0,2025-11-10T23:26:17.452Z,dados_credito.xlsx
2,MG,23,Superior Completo,Solteiro,1,Não,0,0.0,Não,0.0,9,Não,4800.0,1,50000.0,18.0,2025-11-10T23:26:17.452Z,dados_credito.xlsx
3,SC,25,Segundo Grau Completo,Casado,0,Sim,1,220000.0,Não,0.0,18,Sim,2200.0,2,30000.0,23.0,2025-11-10T23:26:17.452Z,dados_credito.xlsx
4,PR,27,Superior Cursando,Casado,1,Sim,0,0.0,Não,0.0,22,Não,3900.0,0,0.0,28.6666666666667,2025-11-10T23:26:17.452Z,dados_credito.xlsx
5,RJ,28,Superior Completo,Divorciado,2,Não,1,370000.0,Não,0.0,30,Sim,,1,35000.0,34.1666666666667,2025-11-10T23:26:17.452Z,dados_credito.xlsx
6,SP,30,Segundo Grau Completo,Divorciado,0,Não,0,0.0,Não,0.0,14,Sim,3100.0,2,40000.0,39.6666666666667,2025-11-10T23:26:17.452Z,dados_credito.xlsx
7,MG,32,Superior Cursando,Solteiro,1,Sim,1,185000.0,Sim,3000.0,19,Sim,6800.0,0,0.0,45.1666666666667,2025-11-10T23:26:17.452Z,dados_credito.xlsx
8,SC,35,Superior Completo,Solteiro,1,Sim,2,450000.0,Sim,2400.0,25,Sim,22000.0,1,150000.0,50.6666666666667,2025-11-10T23:26:17.452Z,dados_credito.xlsx
9,PR,42,Segundo Grau Completo,Casado,0,Não,0,0.0,Não,0.0,48,Sim,4500.0,2,28000.0,56.1666666666667,2025-11-10T23:26:17.452Z,dados_credito.xlsx
10,RJ,45,Superior Cursando,Casado,0,Não,0,0.0,Não,0.0,120,Não,9800.0,0,0.0,61.6666666666667,2025-11-10T23:26:17.452Z,dados_credito.xlsx
