CODIGO_CLIENTE,UF,IDADE,ESCOLARIDADE,ESTADO_CIVIL,QT_FILHOS,CASA_PROPRIA,QT_IMOVEIS,VL_IMOVEIS,OUTRA_RENDA,OUTRA_RENDA_VALOR,TEMPO_ULTIMO_EMPREGO_MESES,TRABALHANDO_ATUALMENTE,ULTIMO_SALARIO,QT_CARROS,VALOR_TABELA_CARROS,SCORE,DATA_UPLOAD,ARQUIVO_FONTE,RENDA_TOTAL,DATA_TRATAMENTO,FAIXA_ETARIA,TEM_FILHOS,CATEGORIA_RENDA
44,RJ,45,SUPERIOR CURSANDO,CASADO,0,0,0,0.0,false,0.0,120,0,9800.0,0,0.0,61,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,9800.0,2025-11-10T23:26:29.684Z,31 a 45,0,Média
603,PR,27,SUPERIOR CURSANDO,CASADO,1,1,0,0.0,false,0.0,22,0,3900.0,0,0.0,28,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,3900.0,2025-11-10T23:26:29.684Z,21 a 30,1,Média-Baixa
682,RJ,57,SEGUNDO GRAU COMPLETO,CASADO,3,1,1,340000.0,true,4000.0,90,1,13000.0,2,180000.0,89,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,17000.0,2025-11-10T23:26:29.684Z,Maior que 55,1,Média-Alta
720,MG,23,SUPERIOR COMPLETO,SOLTEIRO,1,0,0,0.0,false,0.0,9,0,4800.0,1,50000.0,18,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,4800.0,2025-11-10T23:26:29.684Z,21 a 30,1,Média-Baixa
780,SP,48,SUPERIOR COMPLETO,DIVORCIADO,2,0,3,700000.0,false,0.0,75,0,17500.0,1,50000.0,83,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,17500.0,2025-11-10T23:26:29.684Z,46 a 55,1,Média-Alta
830,RJ,45,SUPERIOR CURSANDO,CASADO,0,1,1,450000.0,true,3200.0,93,0,5300.0,0,0.0,94,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,8500.0,2025-11-10T23:26:29.684Z,31 a 45,0,Média
885,SC,62,SEGUNDO GRAU COMPLETO,DIVORCIADO,1,0,0,0.0,false,0.0,8,1,1800.0,0,0.0,12,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,1800.0,2025-11-10T23:26:29.684Z,Maior que 55,1,Baixa
913,MG,45,SUPERIOR COMPLETO,SOLTEIRO,1,1,0,0.0,false,0.0,22,0,3900.0,0,0.0,28,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,3900.0,2025-11-10T23:26:29.684Z,31 a 45,1,Média-Baixa
1145,RJ,48,SUPERIOR CURSANDO,CASADO,1,1,0,0.0,false,0.0,22,0,3900.0,0,0.0,28,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,3900.0,2025-11-10T23:26:29.684Z,46 a 55,1,Média-Baixa
1244,MG,51,SEGUNDO GRAU COMPLETO,DIVORCIADO,1,1,0,0.0,false,0.0,80,0,6100.0,2,48000.0,72,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,6100.0,2025-11-10T23:26:29.684Z,46 a 55,1,Média
1382,PR,55,SUPERIOR COMPLETO,CASADO,2,0,0,0.0,false,0.0,120,0,9800.0,0,0.0,61,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,9800.0,2025-11-10T23:26:29.684Z,46 a 55,1,Média
1453,SP,23,SEGUNDO GRAU COMPLETO,CASADO,3,1,2,600000.0,false,0.0,15,1,15000.0,1,70000.0,67,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,15000.0,2025-11-10T23:26:29.684Z,21 a 30,1,Média-Alta
1527,RJ,62,SUPERIOR COMPLETO,DIVORCIADO,2,1,2,600000.0,false,0.0,15,1,15000.0,1,70000.0,67,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,15000.0,2025-11-10T23:26:29.684Z,Maior que 55,1,Média-Alta
1790,RJ,45,SUPERIOR CURSANDO,CASADO,0,0,0,0.0,false,0.0,120,0,9800.0,0,0.0,61,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,9800.0,2025-11-10T23:26:29.684Z,31 a 45,0,Média
2085,RJ,42,SUPERIOR CURSANDO,CASADO,3,0,1,370000.0,false,0.0,30,1,11500.0,1,35000.0,34,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,11500.0,2025-11-10T23:26:29.684Z,31 a 45,1,Média-Alta
2184,MG,55,SUPERIOR COMPLETO,VIUVO,1,0,3,900000.0,false,0.0,150,0,18300.0,1,80000.0,98,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,18300.0,2025-11-10T23:26:29.684Z,46 a 55,1,Média-Alta
3063,RJ,65,SUPERIOR COMPLETO,VIUVO,1,0,3,900000.0,false,0.0,150,0,18300.0,1,80000.0,98,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,18300.0,2025-11-10T23:26:29.684Z,Maior que 55,1,Média-Alta
3064,SP,19,SUPERIOR CURSANDO,SOLTEIRO,0,0,0,0.0,false,0.0,8,1,1800.0,0,0.0,12,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,1800.0,2025-11-10T23:26:29.684Z,Até 20,0,Baixa
3218,SP,27,SUPERIOR COMPLETO,VIUVO,1,0,0,0.0,false,0.0,14,1,3100.0,2,40000.0,39,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,3100.0,2025-11-10T23:26:29.684Z,21 a 30,1,Média-Baixa
3226,PR,51,SUPERIOR COMPLETO,SOLTEIRO,1,0,3,700000.0,false,0.0,75,0,17500.0,1,50000.0,83,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,17500.0,2025-11-10T23:26:29.684Z,46 a 55,1,Média-Alta
3475,PR,42,SEGUNDO GRAU COMPLETO,DIVORCIADO,0,0,0,0.0,false,0.0,14,1,3100.0,2,40000.0,39,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,3100.0,2025-11-10T23:26:29.684Z,31 a 45,0,Média-Baixa
3612,SP,19,SUPERIOR CURSANDO,SOLTEIRO,0,0,0,0.0,false,0.0,8,1,1800.0,0,0.0,12,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,1800.0,2025-11-10T23:26:29.684Z,Até 20,0,Baixa
4837,SP,48,SUPERIOR COMPLETO,DIVORCIADO,2,1,0,0.0,false,0.0,22,0,3900.0,0,0.0,28,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,3900.0,2025-11-10T23:26:29.684Z,46 a 55,1,Média-Baixa
4840,PR,55,SUPERIOR COMPLETO,CASADO,2,1,1,185000.0,true,3000.0,19,1,6800.0,0,0.0,45,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,9800.0,2025-11-10T23:26:29.684Z,46 a 55,1,Média
5180,RJ,30,SUPERIOR COMPLETO,DIVORCIADO,2,1,2,600000.0,false,0.0,15,1,15000.0,1,70000.0,67,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,15000.0,2025-11-10T23:26:29.684Z,21 a 30,1,Média-Alta
5185,RJ,48,SUPERIOR CURSANDO,CASADO,3,1,1,450000.0,true,3200.0,93,0,5300.0,0,0.0,94,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,8500.0,2025-11-10T23:26:29.684Z,46 a 55,1,Média
5207,PR,62,SEGUNDO GRAU COMPLETO,CASADO,3,1,1,340000.0,true,4000.0,90,1,13000.0,2,180000.0,89,2025-11-10T23:26:17.452Z,DADOS_CREDITO.XLSX,17000.0,2025-11-10T23:26:29.684Z,Maior que 55,1,Média-Alta
